SepalLengthCm;SepalWidthCm;PetalLengthCm;PetalWidthCm;Species
51;35;14;2;Iris-setosa
49;30;14;2;Iris-setosa
47;32;13;2;Iris-setosa
46;31;15;2;Iris-setosa
50;36;14;2;Iris-setosa
54;39;17;4;Iris-setosa
46;34;14;3;Iris-setosa
50;34;15;2;Iris-setosa
44;29;14;2;Iris-setosa
49;31;15;1;Iris-setosa
54;37;15;2;Iris-setosa
48;34;16;2;Iris-setosa
48;30;14;1;Iris-setosa
43;30;11;1;Iris-setosa
58;40;12;2;Iris-setosa
57;44;15;4;Iris-setosa
54;39;13;4;Iris-setosa
51;35;14;3;Iris-setosa
57;38;17;3;Iris-setosa
51;38;15;3;Iris-setosa
54;34;17;2;Iris-setosa
51;37;15;4;Iris-setosa
46;36;10;2;Iris-setosa
51;33;17;5;Iris-setosa
48;34;19;2;Iris-setosa
50;30;16;2;Iris-setosa
50;34;16;4;Iris-setosa
52;35;15;2;Iris-setosa
52;34;14;2;Iris-setosa
47;32;16;2;Iris-setosa
48;31;16;2;Iris-setosa
54;34;15;4;Iris-setosa
52;41;15;1;Iris-setosa
55;42;14;2;Iris-setosa
49;31;15;1;Iris-setosa
50;32;12;2;Iris-setosa
55;35;13;2;Iris-setosa
49;31;15;1;Iris-setosa
44;30;13;2;Iris-setosa
51;34;15;2;Iris-setosa
50;35;13;3;Iris-setosa
45;23;13;3;Iris-setosa
44;32;13;2;Iris-setosa
50;35;16;6;Iris-setosa
51;38;19;4;Iris-setosa
48;30;14;3;Iris-setosa
51;38;16;2;Iris-setosa
46;32;14;2;Iris-setosa
53;37;15;2;Iris-setosa
50;33;14;2;Iris-setosa
70;32;47;14;Iris-versicolor
64;32;45;15;Iris-versicolor
69;31;49;15;Iris-versicolor
55;23;40;13;Iris-versicolor
65;28;46;15;Iris-versicolor
57;28;45;13;Iris-versicolor
63;33;47;16;Iris-versicolor
49;24;33;10;Iris-versicolor
66;29;46;13;Iris-versicolor
52;27;39;14;Iris-versicolor
50;20;35;10;Iris-versicolor
59;30;42;15;Iris-versicolor
60;22;40;10;Iris-versicolor
61;29;47;14;Iris-versicolor
56;29;36;13;Iris-versicolor
67;31;44;14;Iris-versicolor
56;30;45;15;Iris-versicolor
58;27;41;10;Iris-versicolor
62;22;45;15;Iris-versicolor
56;25;39;11;Iris-versicolor
59;32;48;18;Iris-versicolor
61;28;40;13;Iris-versicolor
63;25;49;15;Iris-versicolor
61;28;47;12;Iris-versicolor
64;29;43;13;Iris-versicolor
66;30;44;14;Iris-versicolor
68;28;48;14;Iris-versicolor
67;30;50;17;Iris-versicolor
60;29;45;15;Iris-versicolor
57;26;35;10;Iris-versicolor
55;24;38;11;Iris-versicolor
55;24;37;10;Iris-versicolor
58;27;39;12;Iris-versicolor
60;27;51;16;Iris-versicolor
54;30;45;15;Iris-versicolor
60;34;45;16;Iris-versicolor
67;31;47;15;Iris-versicolor
63;23;44;13;Iris-versicolor
56;30;41;13;Iris-versicolor
55;25;40;13;Iris-versicolor
55;26;44;12;Iris-versicolor
61;30;46;14;Iris-versicolor
58;26;40;12;Iris-versicolor
50;23;33;10;Iris-versicolor
56;27;42;13;Iris-versicolor
57;30;42;12;Iris-versicolor
57;29;42;13;Iris-versicolor
62;29;43;13;Iris-versicolor
51;25;30;11;Iris-versicolor
57;28;41;13;Iris-versicolor
